Shipper ID,Tracking ID,Origin Hub Name,Dest Hub Name,Count
11398224,26062901283102CHDGERBPQ-02,MAC-MAC,MAC-KRL,1
11398224,26062901283102CHDGERBPQ-DO,MAC-KRL,MAC-KD5,1
11398224,26062901283102GJXQR95KMN-01,MAC-MAC,MAC-KRL,1
11398224,26062901283102GJXQR95KMN-DO,MAC-KRL,MAC-KD5,1
11398224,26062901405436B1UTMVNO81-01,MAC-MAC,CBN-KNG,1
11398224,26062901405436B1UTMVNO81-DO,CBN-CBN,MAC-KD5,1
11398224,26062901405436L0WQDZPOT-01,MAC-MAC,CBN-KNG,1
11398224,26062901405436L0WQDZPOT-DO,CBN-CBN,MAC-KD5,1
11398224,2606290146071492F8UYKYD-01,MAC-MAC,MAC-SRN,1
11398224,2606290146071492F8UYKYD-02,MAC-MAC,MAC-SRN,1
11398224,2606290146071492F8UYKYD-DO,MAC-MAC,MAC-KD5,1
11398224,26062901460714DGQ9HYO302-01,MAC-MAC,MAC-SRN,1
11398224,26062901460714DGQ9HYO302-DO,MAC-MAC,MAC-KD5,1
11398224,26062901460714G4HEGHVB6Y-01,MAC-MAC,MAC-SRN,1
11398224,26062901460714G4HEGHVB6Y-DO,MAC-MAC,MAC-KD5,1
11398224,26062901460714LCBKSBYMB-01,MAC-MAC,MAC-SRN,1
11398224,26062901460714LCBKSBYMB-DO,MAC-MAC,MAC-KD5,1
11398224,26062901460714W59UZW1-01,MAC-MAC,MAC-SRN,1
11398224,26062901460714W59UZW1-DO,MAC-MAC,MAC-KD5,1
11398224,26062901463506IXC1AT7QUW-01,SUB-SUB,SOC-BJN,1
11398224,26062901463506IXC1AT7QUW-DO,SOC-SOC,SUB-NWE,1
11398224,26062901463506L0WH3KJSY-01,SUB-SUB,SOC-BJN,1
11398224,26062901463506L0WH3KJSY-DO,SOC-SOC,SUB-NWE,1
11398224,26062901463506OV797NA0F-01,SUB-SUB,SOC-BJN,1
11398224,26062901463506OV797NA0F-DO,SOC-SOC,SUB-NWE,1
11398224,26062902004185NYUA64CP2-01,MAC-MAC,CBN-KNG,1
11398224,26062902004185NYUA64CP2-DO,CBN-CBN,MAC-KD5,1
11398224,26062902004185P0JFJ5FSKJ-01,MAC-MAC,CBN-KNG,1
